Element,AtomicNumber,Name,MolarMass,CPKHexColor,ElectronConfiguration,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,OxidationStates,StandardState,MeltingPoint,BoilingPoint,Density,GroupBlock,YearDiscovered,ValenceElectrons
Nb,41,Niobium,92.90637,73C2C9,[Kr]5s1 4d4,1.6,207.0,6.759,0.893,"+5, +3",Solid,2750.0,5017.0,8.57,Transition metal,1801,2
Mo,42,Molybdenum,95.95,54B5B5,[Kr]5s1 4d5,2.16,209.0,7.092,0.746,+6,Solid,2896.0,4912.0,10.2,Transition metal,1778,2
Tc,43,Technetium,96.90636,3B9E9E,[Kr]5s2 4d5,1.9,209.0,7.28,0.55,"+7, +6, +4",Solid,2430.0,4538.0,11.0,Transition metal,1937,2
Ru,44,Ruthenium,101.1,248F8F,[Kr]5s1 4d7,2.2,207.0,7.361,1.05,+3,Solid,2607.0,4423.0,12.1,Transition metal,1827,2
Rh,45,Rhodium,102.9055,0A7D8C,[Kr]5s1 4d8,2.28,195.0,7.459,1.137,+3,Solid,2237.0,3968.0,12.4,Transition metal,1803,2
Pd,46,Palladium,106.42,6985,[Kr]4d10,2.2,202.0,8.337,0.557,"+3, +2",Solid,1828.05,3236.0,12.0,Transition metal,1803,2
Ag,47,Silver,107.868,C0C0C0,[Kr]5s1 4d10,1.93,172.0,7.576,1.302,+1,Solid,1234.93,2435.0,10.501,Transition metal,Ancient,2
Cd,48,Cadmium,112.41,FFD98F,[Kr]5s2 4d10,1.69,158.0,8.994,,+2,Solid,594.22,1040.0,8.69,Transition metal,1817,2
In,49,Indium,114.818,A67573,[Kr]5s2 4d10 5p1,1.78,193.0,5.786,0.3,+3,Solid,429.75,2345.0,7.31,Post-transition metal,1863,2
Sn,50,Tin,118.71,668080,[Kr]5s2 4d10 5p2,1.96,217.0,7.344,1.2,"+4, +2",Solid,505.08,2875.0,7.287,Post-transition metal,Ancient,2
Sb,51,Antimony,121.76,9E63B5,[Kr]5s2 4d10 5p3,2.05,206.0,8.64,1.07,"+5, +3, -3",Solid,903.78,1860.0,6.685,Metalloid,Ancient,4
I,53,Iodine,126.9045,940094,[Kr]5s2 4d10 5p5,2.66,198.0,10.451,3.059,"+7, +5, +1, -1",Solid,386.85,457.55,4.93,Halogen,1811,7
Te,52,Tellurium,127.6,D47A00,[Kr]5s2 4d10 5p4,2.1,206.0,9.01,1.971,"+6, +4, -2",Solid,722.66,1261.0,6.232,Metalloid,1782,4
Xe,54,Xenon,131.29,429EB0,[Kr]5s2 4d10 5p6,2.6,216.0,12.13,,0,Gas,161.36,165.03,0.005887,Noble gas,1898,8
Cs,55,Cesium,132.905452,57178F,[Xe]6s1,0.79,343.0,3.894,0.472,+1,Solid,301.59,944.0,1.93,Alkali metal,1860,0
Ba,56,Barium,137.33,00C900,[Xe]6s2,0.89,268.0,5.212,,+2,Solid,1000.0,2170.0,3.62,Alkaline earth metal,1808,0
La,57,Lanthanum,138.9055,70D4FF,[Xe]6s2 5d1,1.1,240.0,5.577,0.5,+3,Solid,1191.0,3737.0,6.15,Lanthanide,1839,2
Ce,58,Cerium,140.116,FFFFC7,[Xe]6s2 4f1 5d1,1.12,235.0,5.539,0.5,"+4, +3",Solid,1071.0,3697.0,6.77,Lanthanide,1803,2
Pr,59,Praseodymium,140.90766,D9FFC7,[Xe]6s2 4f3,1.13,239.0,5.464,,+3,Solid,1204.0,3793.0,6.77,Lanthanide,1885,2
Nd,60,Neodymium,144.24,C7FFC7,[Xe]6s2 4f4,1.14,229.0,5.525,,+3,Solid,1294.0,3347.0,7.01,Lanthanide,1885,2
Pm,61,Promethium,144.91276,A3FFC7,[Xe]6s2 4f5,,236.0,5.55,,+3,Solid,1315.0,3273.0,7.26,Lanthanide,1945,2
Sm,62,Samarium,150.4,8FFFC7,[Xe]6s2 4f6,1.17,229.0,5.644,,"+3, +2",Solid,1347.0,2067.0,7.52,Lanthanide,1879,2
Eu,63,Europium,151.964,61FFC7,[Xe]6s2 4f7,,233.0,5.67,,"+3, +2",Solid,1095.0,1802.0,5.24,Lanthanide,1901,2
Gd,64,Gadolinium,157.2,45FFC7,[Xe]6s2 4f7 5d1,1.2,237.0,6.15,,+3,Solid,1586.0,3546.0,7.9,Lanthanide,1880,2
Tb,65,Terbium,158.92535,30FFC7,[Xe]6s2 4f9,,221.0,5.864,,+3,Solid,1629.0,3503.0,8.23,Lanthanide,1843,2
Dy,66,Dysprosium,162.5,1FFFC7,[Xe]6s2 4f10,1.22,229.0,5.939,,+3,Solid,1685.0,2840.0,8.55,Lanthanide,1886,2
Ho,67,Holmium,164.93033,00FF9C,[Xe]6s2 4f11,1.23,216.0,6.022,,+3,Solid,1747.0,2973.0,8.8,Lanthanide,1878,2
Er,68,Erbium,167.26,,[Xe]6s2 4f12,1.24,235.0,6.108,,+3,Solid,1802.0,3141.0,9.07,Lanthanide,1843,2
Tm,69,Thulium,168.93422,00D452,[Xe]6s2 4f13,1.25,227.0,6.184,,+3,Solid,1818.0,2223.0,9.32,Lanthanide,1879,2
Yb,70,Ytterbium,173.05,00BF38,[Xe]6s2 4f14,,242.0,6.254,,"+3, +2",Solid,1092.0,1469.0,6.9,Lanthanide,1878,2
Lu,71,Lutetium,174.9668,00AB24,[Xe]6s2 4f14 5d1,1.27,221.0,5.426,,+3,Solid,1936.0,3675.0,9.84,Lanthanide,1907,2
Hf,72,Hafnium,178.49,4DC2FF,[Xe]6s2 4f14 5d2,1.3,212.0,6.825,,+4,Solid,2506.0,4876.0,13.3,Transition metal,1923,2
Ta,73,Tantalum,180.9479,4DA6FF,[Xe]6s2 4f14 5d3,1.5,217.0,7.89,0.322,+5,Solid,3290.0,5731.0,16.4,Transition metal,1802,2
W,74,Tungsten,183.84,2194D6,[Xe]6s2 4f14 5d4,2.36,210.0,7.98,0.815,+6,Solid,3695.0,5828.0,19.3,Transition metal,1783,2
Re,75,Rhenium,186.207,267DAB,[Xe]6s2 4f14 5d5,1.9,217.0,7.88,0.15,"+7, +6, +4",Solid,3459.0,5869.0,20.8,Transition metal,1925,2
Os,76,Osmium,190.2,266696,[Xe]6s2 4f14 5d6,2.2,216.0,8.7,1.1,"+4, +3",Solid,3306.0,5285.0,22.57,Transition metal,1803,2
Ir,77,Iridium,192.22,175487,[Xe]6s2 4f14 5d7,2.2,202.0,9.1,1.565,"+4, +3",Solid,2719.0,4701.0,22.42,Transition metal,1803,2
Pt,78,Platinum,195.08,D0D0E0,[Xe]6s1 4f14 5d9,2.28,209.0,9.0,2.128,"+4, +2",Solid,2041.55,4098.0,21.46,Transition metal,1735,2
Au,79,Gold,196.96657,FFD123,[Xe]6s1 4f14 5d10,2.54,166.0,9.226,2.309,"+3, +1",Solid,1337.33,3129.0,19.282,Transition metal,Ancient,2
Hg,80,Mercury,200.59,B8B8D0,[Xe]6s2 4f14 5d10,2.0,209.0,10.438,,"+2, +1",Liquid,234.32,629.88,13.5336,Transition metal,Ancient,2
Tl,81,Thallium,204.383,A6544D,[Xe]6s2 4f14 5d10 6p1,1.62,196.0,6.108,0.2,"+3, +1",Solid,577.0,1746.0,11.8,Post-transition metal,1861,2
Pb,82,Lead,207.0,575961,[Xe]6s2 4f14 5d10 6p2,2.33,202.0,7.417,0.36,"+4, +2",Solid,600.61,2022.0,11.342,Post-transition metal,Ancient,2
Bi,83,Bismuth,208.9804,9E4FB5,[Xe]6s2 4f14 5d10 6p3,2.02,207.0,7.289,0.946,"+5, +3",Solid,544.55,1837.0,9.807,Post-transition metal,1753,2
Th,90,Thorium,232.038,00BAFF,[Rn]7s2 6d2,1.3,237.0,6.08,,+4,Solid,2023.0,5061.0,11.72,Actinide,1828,2
Pa,91,Protactinium,231.03588,00A1FF,[Rn]7s2 5f2 6d1,1.5,243.0,5.89,,"+5, +4",Solid,1845.0,,15.37,Actinide,1913,2
U,92,Uranium,238.0289,008FFF,[Rn]7s2 5f3 6d1,1.38,240.0,6.194,,"+6, +5, +4, +3",Solid,1408.0,4404.0,18.95,Actinide,1789,2
Np,93,Neptunium,237.048172,0080FF,[Rn]7s2 5f4 6d1,1.36,221.0,6.266,,"+6, +5, +4, +3",Solid,917.0,4175.0,20.25,Actinide,1940,2
Pu,94,Plutonium,244.0642,006BFF,[Rn]7s2 5f6,1.28,243.0,6.06,,"+6, +5, +4, +3",Solid,913.0,3501.0,19.84,Actinide,1940,2
Am,95,Americium,243.06138,545CF2,[Rn]7s2 5f7,1.3,244.0,5.993,,"+6, +5, +4, +3",Solid,1449.0,2284.0,13.69,Actinide,1944,2
Cm,96,Curium,247.07035,785CE3,[Rn]7s2 5f7 6d1,1.3,245.0,6.02,,+3,Solid,1618.0,3400.0,13.51,Actinide,1944,2
Bk,97,Berkelium,247.07031,8A4FE3,[Rn]7s2 5f9,1.3,244.0,6.23,,"+4, +3",Solid,1323.0,,14.0,Actinide,1949,2
Cf,98,Californium,251.07959,A136D4,[Rn]7s2 5f10,1.3,245.0,6.3,,+3,Solid,1173.0,,,Actinide,1950,2
Es,99,Einsteinium,252.083,B31FD4,[Rn]7s2 5f11,1.3,245.0,6.42,,+3,Solid,1133.0,,,Actinide,1952,2
Fm,100,Fermium,257.09511,B31FBA,[Rn] 5f12 7s2,1.3,,6.5,,+3,Solid,1800.0,,,Actinide,1952,2
Md,101,Mendelevium,258.09843,B30DA6,[Rn]7s2 5f13,1.3,,6.58,,"+3, +2",Solid,1100.0,,,Actinide,1955,2
Rf,104,Rutherfordium,267.122,CC0059,[Rn]7s2 5f14 6d2,,,,,+4,Solid,,,,Transition metal,1964,2
